层次,轮字,所表,谱曰逐字（卷首〈輪相表法第一〉）
第一重·惑与善,那,見煩惱,那表屬見煩惱。亦名分別惑。亦名見惑。邪見分別所起惑故。亦名見所斷惑。見真諦道時。此惑頓斷故。
第一重·惑与善,謨,愛煩惱,謨表屬愛煩惱。亦名俱生惑。亦名思惑。不由分別。任運起故。亦名修所斷惑。微細難斷。須見道後修無漏道。乃漸斷故。
第一重·惑与善,阿,施善,阿表施善。
第一重·惑与善,彌,戒善,彌表戒善。
第一重·惑与善,陀,定善,陀表定善。
第一重·惑与善,佛,善慧,佛表善慧。
第二重·有漏无漏,阿彌陀,有漏善,或阿彌陀。表有漏善。佛表無漏善。
第二重·有漏无漏,佛,无漏善,布施。持戒。禪定。設無出世智慧。並名有漏。故惟智慧名無漏善。當知以慧導施戒禪。則施戒禪亦無漏矣。
第三重·四教门,阿,生滅門（藏）,又阿表生滅門。彌表無生滅門。陀表次第門。佛表圓頓門。約出世慧。法爾有此四門。初是三乘鈍根。二是三乘利根。三是大乘鈍根。四是大乘利根。故順次表之也。
第三重·四教门,彌,無生滅門（通）,又阿表生滅門。彌表無生滅門。陀表次第門。佛表圓頓門。約出世慧。法爾有此四門。初是三乘鈍根。二是三乘利根。三是大乘鈍根。四是大乘利根。故順次表之也。
第三重·四教门,陀,次第門（別）,又阿表生滅門。彌表無生滅門。陀表次第門。佛表圓頓門。約出世慧。法爾有此四門。初是三乘鈍根。二是三乘利根。三是大乘鈍根。四是大乘利根。故順次表之也。
第三重·四教门,佛,圓頓門（圓）,又阿表生滅門。彌表無生滅門。陀表次第門。佛表圓頓門。約出世慧。法爾有此四門。初是三乘鈍根。二是三乘利根。三是大乘鈍根。四是大乘利根。故順次表之也。
诸门改判·鈍根阿那含（全位）,那／謨,界外见惑／界外爱惑,問。那謨二字既表見愛。若有見愛。何成四果。答。界內見惑。初果先已斷盡。界內愛染。四空之所存者無幾。今遇佛字。安得不斷。此那謨字。正表界外見愛。所謂無明別惑。
诸门改判·八背捨觀（限那佛謨佛）,那／謨,法执,那佛謨佛皆四果者。無漏定力。但遇佛字。必出生死。那謨以表法執。故為定性聲聞也。（同段又云「謨謨鈍根那含者。思惑未盡。生四空天故」，可见三惡相在本位仍是思惑，故此改判不通全位。）
本表用词,——,那＝见烦恼，謨＝爱烦恼，阿＝施善，彌＝戒善，陀＝定善，佛＝无漏善慧,话头依卷首体例「X表Y」立文；门位改判者：鈍根阿那含、八背捨觀
