序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
1,第1门,發始因地門,卷1,上品十惡,那那,那,见烦恼,那,见烦恼,行,阿鼻地獄,第3门,降,,「那那」邪见增盛、撥无因果，故入十方阿鼻地狱，百千万劫难得出期。,承注库,直說,那那。則邪見增盛。撥無因果。故入十方阿鼻地獄。百千萬劫。難得出期。,那那。則邪見增盛。撥無因果。故入十方阿鼻地獄。百千萬劫。難得出期。,《選佛譜》卷第一・上品十惡・L45,上品十惡
2,第1门,發始因地門,卷1,上品十惡,那謨,那,见烦恼,謨,爱烦恼,行,無間地獄,第3门,降,,「那」表见烦恼、「謨」表爱烦恼，见惑与爱惑正盛，恶业必多，故入无间地狱，寿一大劫。,手工逐组（门1–14 手写）,直說,那謨。則見思方盛。惡業必多。,那謨。則見思方盛。惡業必多。謨謨。則習染既濃。亦多惡業。故皆入無間獄。壽一大劫。,《選佛譜》卷第一・上品十惡・L45,上品十惡
3,第1门,發始因地門,卷1,上品十惡,那阿,那,见烦恼,阿,施善,行,有間地獄,第3门,降,,「那」表见烦恼、「阿」表施善。虽造大恶，还有这点世间微善，故堕有间地狱，偶得片刻凉风小乐。,手工逐组（门1–14 手写）,直說,那阿。謨阿。及阿阿。則雖有大惡。猶有世間微善。故於地獄之中。偶得涼風溫風等。暫時小樂。名為有間地獄。壽亦略減。,那阿。謨阿。及阿阿。則雖有大惡。猶有世間微善。故於地獄之中。偶得涼風溫風等。暫時小樂。名為有間地獄。壽亦略減。,《選佛譜》卷第一・上品十惡・L45,上品十惡
4,第1门,發始因地門,卷1,上品十惡,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。以有漏之戒善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
5,第1门,發始因地門,卷1,上品十惡,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。上品十恶是邪见所发，此等人多修不成定，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
6,第1门,發始因地門,卷1,上品十惡,那佛,那,见烦恼,佛,无漏善慧,不行·安住本位,,,安住,,「那」表见烦恼、「佛」表无漏善慧。上品十恶是邪见所发，此等人多修不起戒定慧，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
7,第1门,發始因地門,卷1,上品十惡,謨謨,謨,爱烦恼,謨,爱烦恼,行,無間地獄,第3门,降,,「謨謨」二字俱表爱烦恼，习染既浓亦多恶业，故入无间地狱，寿一大劫。,手工逐组（门1–14 手写）,直說,謨謨。則習染既濃。亦多惡業。故皆入無間獄。壽一大劫。,那謨。則見思方盛。惡業必多。謨謨。則習染既濃。亦多惡業。故皆入無間獄。壽一大劫。,《選佛譜》卷第一・上品十惡・L45,上品十惡
8,第1门,發始因地門,卷1,上品十惡,謨阿,謨,爱烦恼,阿,施善,行,有間地獄,第3门,降,,「謨」表爱烦恼、「阿」表施善。虽造大恶，还有这点世间微善，故堕有间地狱，偶得片刻凉风小乐。,手工逐组（门1–14 手写）,直說,那阿。謨阿。及阿阿。則雖有大惡。猶有世間微善。故於地獄之中。偶得涼風溫風等。暫時小樂。名為有間地獄。壽亦略減。,那阿。謨阿。及阿阿。則雖有大惡。猶有世間微善。故於地獄之中。偶得涼風溫風等。暫時小樂。名為有間地獄。壽亦略減。,《選佛譜》卷第一・上品十惡・L45,上品十惡
9,第1门,發始因地門,卷1,上品十惡,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。以有漏之戒善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
10,第1门,發始因地門,卷1,上品十惡,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。上品十恶是邪见所发，此等人多修不成定，故不行。,手工逐组（门1–14 手写）,直說,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,阿彌至謨佛皆不行者。邪見十惡之人。多不能修戒定慧故。,《選佛譜》卷第一・上品十惡・L45,上品十惡
